image_path,label
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sn1ap_024 (44).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_058.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_240.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_543.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_127.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_747.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_774.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_0233 (14).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_635.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_198.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_059.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_112 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_025 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (101).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_092.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_304.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_175.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_176.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_394.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_329.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_132 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_176.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sn1ap_024 (13).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_237.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (28).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (143).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_107 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sn1ap_024 (2).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_021 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_603.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (134).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_129 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_124.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_314.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_026.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (71).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_053.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_448.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_768.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_023 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_398.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (90).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_553.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_236.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_048.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_038.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_562.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_377.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_744.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_008.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_069.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_734.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (25).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_411.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_052.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (30).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_541.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_357.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_207.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (56).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_031.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_067 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_226.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_175.jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_130 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_187 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (74).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (6).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_190.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_083 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_322.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_063.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (15).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_530.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_039 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_197.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_138.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_729.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_297.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_027.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_560.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (11).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_018.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_415.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_161 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_179.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_754.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_133.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_512.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_742.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_418.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (88).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_525.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_741.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (54).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_136 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (77).jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (16).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_670.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_035 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_134.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_814.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (98).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_320.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (107).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_137 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_150 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_349.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_056 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_096 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_106.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_201.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (29).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_033 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_558.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_011.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_109 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_179.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (66).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_821.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (57).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (95).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_069.jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_288.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_637.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_073 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_194.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (8).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_226.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (31).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_017 (4).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_118 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_232.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_025.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_147 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_178.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_173.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_050.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_026.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_074 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_223 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_365.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_393.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_337.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_009 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (57).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_511.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_186.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_075 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_130.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_022 (4).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_076.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_070 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_198.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_015 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (105).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (59).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sn1ap_024 (51).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_048 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (127).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_029 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_181.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_770.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_467.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (25).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_816.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (38).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (141).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_713.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_729.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_002 (4).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_267.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (39).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_434.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_361.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_046 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_547.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_031.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_069.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_028 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_156.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_059 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (79).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_282.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_167.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_104.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_241.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_623.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_215 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_743.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_178 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (103).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_743.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_001.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_046.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (94).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_571.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (41).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_389.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_008 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_030.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_363.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (25).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_121.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_332.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_762.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_593.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (14).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_222.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_067 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_133.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_063 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_116 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_490.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_016.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_264.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_660.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_750.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_536.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_370.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_041.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_054 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (123).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_542.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_218 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_258.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_039 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_207.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_126.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_726.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_020.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_011 (4).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_106.jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_209.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_489.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_596.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_647.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_122 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_522.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_485.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_202.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_210.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_457.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_538.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sn1ap_024 (19).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_006 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_021.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_007 (3).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_096 (2).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_123 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_111 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_600.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_242.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_730.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_065.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_296.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_113.jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_040 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_373.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_080.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_466.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_220.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_027.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_290.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_065.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_241 - Copy.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_025 (4).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_720.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_724.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_279.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_292.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_429.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_075.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_237.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_591.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_021 (4).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_122.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_010.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_746.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (19).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_819.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_348.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_111 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_778.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (12).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_071 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_075.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_020 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_183 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (58).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_348.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_014.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_704.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_194.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (49).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (135).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_716.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (63).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_138 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_412.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (142).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_120 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (3).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_097 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_100 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_097 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_195.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap1_043 (13).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_053 (2).jpg,benign
Blood cell Cancer [ALL]\Benign\Snap_053.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_059 - Copy.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_104 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_100.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_021.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_761.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_002.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Sap_148 (10).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_555.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_535.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_149.jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_315.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_272.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_173.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_101 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_006.jpg,malignant
Blood cell Cancer [ALL]\Benign\Sap_013 (2).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_346.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_153.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_069 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_751.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_114 - Copy.jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_134.jpg,benign
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (42).jpg,malignant
Blood cell Cancer [ALL]\Benign\Snap_109 (3).jpg,benign
Blood cell Cancer [ALL]\[Malignant] Pro-B\Snap_094 - Copy.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snp_147 (31).jpg,malignant
Blood cell Cancer [ALL]\[Malignant] Pre-B\Snap_662.jpg,malignant
Blood cell Cancer [ALL]\[Malignant] early Pre-B\Snap_102.jpg,malignant
